,agent_firm_name,case_status,class_of_admission,country_of_citizenship,employer_city,employer_decl_info_title,employer_name,employer_num_employees,employer_state,foreign_worker_info_education,foreign_worker_info_inst,foreign_worker_info_major,foreign_worker_info_state,pw_level_9089,pw_soc_title,wage_offer_from_9089
1252,"Fragomen, Del Rey, Bernsen & Loewy LLP",Certified,H-1B,INDIA,MORRISVILLE,Senior Manager,EMERGYS CORPORATION,114.0,NORTH CAROLINA,Master's,PHILIPPS-UNIVERSITY MARBURG,COMPUTER SCIENCE,NEW JERSEY,2,Computer Systems Analysts,80000.0
1253,Hunton & Williams LLP,Certified,H-1B,MEXICO,SAN DIEGO,Human Resources Manager,"SAINT-GOBAIN SOLAR GARD, LLC",230.0,CALIFORNIA,Master's,UNIVERSITY OF SAN DIEGO,INTERNATIONAL BUSINESS ADMINISTRATION,CALIFORNIA,2,Marketing Managers,101200.0
1254,"Morgan, Lewis & Bockius LLP",Certified,H-1B,INDIA,SAN JOSE,"Sr. Manager, HR Programs and Compliance","BROCADE COMMUNICATIONS SYSTEMS, INC.",3300.0,CALIFORNIA,Master's,SAN JOSE STATE UNIVERSITY,SOFTWARE ENGINEERING,CALIFORNIA,2,"Software Developers, Systems Software",134000.0
1255,"Berry Appleman & Leiden, LLP",Certified,H-1B,CHINA,HOUSTON,HR Administrative Assistant,"INTECSEA, INC.",324.0,TEXAS,Master's,UNIVERSITY OF HOUSTON,INDUSTRIAL ENGINEERING,TEXAS,2,Marine Engineers and Naval Architects,108103.0
1256,"Alan E. Heckler, PC",Certified,H-1B,INDIA,MONMOUTH JCT,PRESIDENT & CEO,"ORION SYSTEMS INTEGRATORS, INC",325.0,NEW JERSEY,Master's,NORTHERN ILLINOIS UNIVERSITY,COMPUTER SCIENCE,FLORIDA,3,Database Administrators,83616.0
1257,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,CHICAGO,Executive Director & Assistant General Counsel,JP MORGAN CHASE & CO,239000.0,ILLINOIS,Master's,GEORGE WASHINGTON UNIVERSITY,FINANCE,NEW YORK,3,Financial Analysts,160000.0
1258,BARST MUKAMAL & KLEINER LLP,Certified,H-1B,RUSSIA,NEW YORK,PRESIDENT,"DATAART SOLUTIONS, INC.",15.0,NEW YORK,Doctorate,VORONEZH STATE TECHNICAL UNIVERSITY,COMPUTER SCIENCE,NEW YORK,2,"Software Developers, Applications",130000.0
1259,"Berry Appleman & Leiden, LLP",Certified,H-1B,INDIA,PLANO,Immigration Specialist II,ERICSSON INC.,90000.0,TEXAS,Master's,UNIVERSITY OF TEXAS AT DALLAS,INFORMATION TECHNOLOGY & MANAGEMENT,TEXAS,2,Management Analysts,72571.0
1260,"Morse, Barnes-Brown & Pendleton PC",Certified,H-1B,IRAN,ACTON,VP Finance/Administration,"AZIMUTH SYSTEMS, INC.",62.0,MASSACHUSETTS,Master's,UNIVERSITY OF MAINE,ELECTRICAL ENGINEERING,MASSACHUSETTS,3,Sales Engineers,99902.0
1261,FAKHOURY LAW GROUP,Certified,H-1B,CANADA,DANBURY,SR. HUMAN RESOURCES BUSINESS PARTNER,"ETHAN ALLEN RETAIL, INC.",4300.0,CONNECTICUT,Bachelor's,SHENZHEN UNIVERSITY,INTERIOR DESIGN,CALIFORNIA,4,Interior Designers,92772.82
