,Unnamed: 0,agent_firm_name,case_status,class_of_admission,country_of_citizenship,employer_city,employer_decl_info_title,employer_name,employer_num_employees,employer_state,foreign_worker_info_education,foreign_worker_info_inst,foreign_worker_info_major,foreign_worker_info_state,pw_level_9089,pw_soc_title,wage_offer_from_9089
431,431,"Kidambi & Associates, P.C.",Denied,H-1B,INDIA,MALVERN,administrator,ZODIAC SOLUTIONS,31.0,PENNSYLVANIA,Master's,BHARATHIDASAN UNIVERSITY,COMPUTER APPLICATIONS,ILLINOIS,3,"Software Developers, Applications",89814.0
432,432,"S. R. Jonnalagadda, P. C.",Denied,H-1B,INDIA,ALBANY,president,"KPR SYSTEMS, INC.",23.0,NEW YORK,Master's,OSMANIA UNIVERSITY,COMPUTER APPLICATIONS,CALIFORNIA,4,"Software Developers, Applications",85000.0
433,433,Sharma Sokolov Yaskhi & Ishar LLP,Certified,H-1B,INDIA,MORROW,hr,"GLOBAL TEACHERS RESEARCH AND RESOURCES, INC.",135.0,GEORGIA,Bachelor's,GUJARAT UNIVERSITY  (A.G.TEACHERS,MATHEMATICS & SCIENCE EDUCATION,GEORGIA,4,"Secondary School Teachers, Except Special and Career/Technical Education",62580.0
434,434,Law Offices of Singh & Associates,Denied,H-1B,INDIA,NORCROSS,president,"SOFTECH INTERNATIONAL RESOURCE, INC.",34.0,GEORGIA,Master's,VIVEKANANDA COLLEGE,COMPUTER SCIENCE,TEXAS,2,Computer Programmers,62500.0
435,435,"Ramirez & Associates, P.C.",Denied,H-1B,MEXICO,DALLAS,manager,DALLAS INDEPENDENT SCHOOL DISTRICT,21000.0,TEXAS,Bachelor's,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,INTERNATIONAL BUSINESS,TEXAS,1,"Elementary School Teachers, Except Special Education",46600.0
436,436,Berry Appleman & Leiden LLP,Certified,H-1B,FRANCE,MOUNTAIN VIEW,manager,GOOGLE INC.,53861.0,CALIFORNIA,Bachelor's,INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE LYON,COMPUTER SCIENCE,CALIFORNIA,2,"Software Developers, Systems Software",125300.0
437,437,Rose Carson Kaplan Choi & White LLP,Denied,H-1B,INDIA,DALLAS,"director,",HITACHI CONSULTING CORPORATION,1500.0,TEXAS,Master's,UNIVERSITY OF MADRAS,COMPUTER SCIENCE,CONNECTICUT,3,"Software Developers, Applications",103522.0
438,438,"Kramer & Alfano, PC",Denied,H-1B,MEXICO,ATLANTA,senior,LAPTV LLC,58.0,GEORGIA,Bachelor's,UNIVERSIDAD INTERCONTINENTAL,JOURNALISM AND MASS COMMUNICATION,GEORGIA,2,Writers and Authors,45885.0
439,439,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Denied,H-1B,TAIWAN,SAN DIEGO,attorney,QUALCOMM TECHNOLOGIES INC.,21200.0,CALIFORNIA,Master's,UNIVERSITY OF CALIFORNIA-SAN DIEGO,ELECTRICAL ENGINEERING (ELECTRONIC CIRCUITS AND SYSTEMS),CALIFORNIA,2,"Electronics Engineers, Except Computer",91208.0
440,440,Law Offices of Nadadur S. Kumar,Denied,H-1B,INDIA,ANAHEIM HILLS,ceo,ACURUS SOLUTIONS,18.0,CALIFORNIA,Bachelor's,BANGALORE UNIVERSITY,COMPUTER ENGINEERING,CALIFORNIA,2,"Software Developers, Systems Software",87318.0
